indicador,dominio_geih,anio,mes,ventana_meses,calculo_independiente,referencia_externa,diferencia_pp,tolerancia_pp,fuente_id,clasificacion_comparabilidad,resultado
TD,Todas (Panorama Nacional),2025.0,3.0,1.0,9.616368662966785,9.616368662963705,3.0802027595200343e-12,1e-08,DANE_GEIH_MAR2025_ANEXO,COMPARABLE EXACTO,APROBADA
TGP,Todas (Panorama Nacional),2025.0,3.0,1.0,64.72949545452448,64.72949545452133,3.154809746774845e-12,1e-08,DANE_GEIH_MAR2025_ANEXO,COMPARABLE EXACTO,APROBADA
TO,Todas (Panorama Nacional),2025.0,3.0,1.0,58.50486853793908,58.504868537937824,1.2576606422953773e-12,1e-08,DANE_GEIH_MAR2025_ANEXO,COMPARABLE EXACTO,APROBADA
TD,Todas (Panorama Nacional),2026.0,4.0,1.0,8.781456802044948,8.8,-0.01854319795505255,0.06,DANE_GEIH_ABR2026_BOLETIN,COMPARABLE CON REDONDEO,APROBADA
TGP,Todas (Panorama Nacional),2026.0,4.0,1.0,64.74122016281338,64.7,0.04122016281337437,0.06,DANE_GEIH_ABR2026_BOLETIN,COMPARABLE CON REDONDEO,APROBADA
TO,Todas (Panorama Nacional),2026.0,4.0,1.0,59.05599788109909,59.1,-0.04400211890091299,0.06,DANE_GEIH_ABR2026_BOLETIN,COMPARABLE CON REDONDEO,APROBADA
Proporcion de ocupacion informal,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Tasa de subocupacion,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
LU2: desocupacion e insuficiencia de horas,No aplica,,,,,,,,OIT_ICLS19,SOLO DEFINICIÓN,APROBADA
LU3: desocupacion y fuerza potencial,No aplica,,,,,,,,OIT_ICLS19,SOLO DEFINICIÓN,APROBADA
LU4: subutilizacion amplia,No aplica,,,,,,,,OIT_ICLS19,SOLO DEFINICIÓN,APROBADA
Desempleo de larga duracion,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Contrato escrito,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Proteccion integral,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Ingreso real mediano,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Ingreso inferior a 1 SMMLV,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
NINI 15-28,No aplica,,,,,,,,OIT_ICLS19,SOLO DEFINICIÓN,APROBADA
NINI 15-24,No aplica,,,,,,,,OIT_ICLS19,SOLO DEFINICIÓN,APROBADA
Sobrecalificacion educativa,No aplica,,,,,,,,OIT_ICLS19,SOLO DEFINICIÓN,APROBADA
Gini de ingreso laboral,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Brecha salarial por educacion,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
ICE,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
IVI,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
ICF sectorial,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Ecuacion de Mincer,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
Costo laboral ampliado,No aplica,,,,,,,,DICCIONARIO_METODOLOGICO,SOLO DEFINICIÓN,APROBADA
