variable,celdas,errores,alertas,no_aplica,invalidos,max_faltantes_ponderados_pct,estado
AREA,1568,0,0,0,0,0.0,APROBADA
CLASE,1568,0,0,0,0,0.0,APROBADA
DPTO,1568,0,0,0,0,0.0,APROBADA
DSI,1568,0,13,0,0,100.0,ALERTA
FEX_ADJ,1568,0,0,0,0,0.0,APROBADA
FEX_C18,1568,0,0,0,0,0.0,APROBADA
FFT,1568,0,18,0,0,90.00064532008648,ALERTA
FT,1568,0,51,0,0,71.26655988875895,ALERTA
INGLABO,1568,0,50,0,0,100.0,ALERTA
MES,1568,0,0,0,0,0.0,APROBADA
OCI,1568,0,35,0,0,75.29453051398535,ALERTA
OFICIO_C8,1568,0,0,0,0,0.0,APROBADA
P3042,1568,0,0,0,0,7.386569800909355,APROBADA
P3043,1568,0,33,0,0,76.82747639277255,ALERTA
P3045S1,1568,0,101,0,0,88.04218655695307,ALERTA
P3046,1568,0,101,0,0,88.04218655695307,ALERTA
P3065,1568,0,102,0,0,80.39210726980042,ALERTA
P3066,1568,0,102,0,0,80.39210726980042,ALERTA
P3067,1568,0,23,0,0,100.0,ALERTA
P3067S1,1568,0,10,0,0,100.0,ALERTA
P3067S2,1568,0,9,0,0,100.0,ALERTA
P3068,1568,0,5,0,0,100.0,ALERTA
P3069,1568,0,0,0,0,0.0,APROBADA
P3271,1568,0,0,0,0,0.0,APROBADA
P6040,1568,0,0,0,0,0.0,APROBADA
P6090,1568,0,0,0,0,0.0,APROBADA
P6100,1568,0,13,0,0,30.58048858398084,ALERTA
P6110,1568,0,74,0,0,95.43654127130306,ALERTA
P6170,1568,0,0,0,0,7.386569800909355,APROBADA
P6280,1568,0,81,0,0,100.0,ALERTA
P6300,1568,0,78,0,0,100.0,ALERTA
P6424S1,1568,0,87,0,0,77.10194523999007,ALERTA
P6424S2,1568,0,87,0,0,77.10194523999007,ALERTA
P6424S3,1568,0,87,0,0,77.10194523999007,ALERTA
P6424S5,1568,0,87,0,0,77.10194523999007,ALERTA
P6430,1568,0,0,0,0,0.0,APROBADA
P6440,1568,0,0,0,0,0.0,APROBADA
P6450,1568,0,0,0,0,0.0,APROBADA
P6460,1568,0,0,0,0,0.0,APROBADA
P6765,1568,0,108,0,0,76.33764231438781,ALERTA
P6775,1568,0,23,0,0,100.0,ALERTA
P6800,1568,0,0,0,0,0.0,APROBADA
P6920,1568,0,0,0,0,0.0,APROBADA
P6930,1568,0,26,0,0,96.80715872381563,ALERTA
P6940,1568,0,26,0,0,96.80715872381563,ALERTA
P7090,1568,0,0,0,0,0.0,APROBADA
P7110,1568,0,0,100,0,0.0,APROBADA
P7120,1568,0,0,100,0,0.0,APROBADA
P7130,1568,0,0,0,0,0.0,APROBADA
P7140S1,1568,0,0,13,0,0.0,APROBADA
P7140S2,1568,0,0,13,0,0.0,APROBADA
P7140S3,1568,0,0,13,0,0.0,APROBADA
P7150,1568,0,0,13,0,0.0,APROBADA
P7160,1568,0,0,13,0,0.0,APROBADA
P7250,1568,0,0,1,0,0.0,APROBADA
PET,1568,0,64,0,0,100.0,ALERTA
RAMA2D_R4,1568,0,0,0,0,0.0,APROBADA
