Nivel,Hombres,Mujeres,Brecha_%,n_hombres,n_mujeres,Ciudad,Año
1. Sin educación,500000.0,230000.0,-54.0,6655,2943,Todas (Panorama Nacional),2022
2. Primaria,750000.0,400000.0,-46.666666666666664,42418,21391,Todas (Panorama Nacional),2022
3. Secundaria,840000.0,500000.0,-40.476190476190474,27198,14501,Todas (Panorama Nacional),2022
4. Media,1000000.0,900000.0,-10.0,71747,48833,Todas (Panorama Nacional),2022
5. Técnica/Tecno.,1200000.0,1000000.0,-16.666666666666664,21433,26248,Todas (Panorama Nacional),2022
6. Universitaria,2000000.0,1800000.0,-10.0,26553,30633,Todas (Panorama Nacional),2022
7. Posgrado,4500000.0,3850000.0,-14.444444444444443,8347,10253,Todas (Panorama Nacional),2022
2. Primaria,900000.0,600000.0,-33.33333333333333,755,398,Armenia,2022
3. Secundaria,1000000.0,720000.0,-28.000000000000004,597,286,Armenia,2022
4. Media,1000000.0,1000000.0,0.0,1926,1273,Armenia,2022
5. Técnica/Tecno.,1300000.0,1000000.0,-23.076923076923077,459,665,Armenia,2022
6. Universitaria,2000000.0,2000000.0,0.0,770,912,Armenia,2022
7. Posgrado,4000000.0,3200000.0,-20.0,177,211,Armenia,2022
1. Sin educación,500000.0,300000.0,-40.0,107,78,Barranquilla A.M.,2022
2. Primaria,600000.0,390000.0,-35.0,785,532,Barranquilla A.M.,2022
3. Secundaria,700000.0,400000.0,-42.857142857142854,783,475,Barranquilla A.M.,2022
4. Media,1000000.0,650000.0,-35.0,2986,1824,Barranquilla A.M.,2022
5. Técnica/Tecno.,1200000.0,1000000.0,-16.666666666666664,667,652,Barranquilla A.M.,2022
6. Universitaria,1800000.0,1600000.0,-11.11111111111111,1014,1072,Barranquilla A.M.,2022
7. Posgrado,4300000.0,3600000.0,-16.27906976744186,211,226,Barranquilla A.M.,2022
2. Primaria,1000000.0,700000.0,-30.0,621,398,Bogotá D.C.,2022
3. Secundaria,1000000.0,800000.0,-20.0,472,314,Bogotá D.C.,2022
4. Media,1000000.0,1000000.0,0.0,1942,1591,Bogotá D.C.,2022
5. Técnica/Tecno.,1300000.0,1114000.0,-14.307692307692307,769,893,Bogotá D.C.,2022
6. Universitaria,2400000.0,2000000.0,-16.666666666666664,1352,1472,Bogotá D.C.,2022
7. Posgrado,5000000.0,4200000.0,-16.0,571,712,Bogotá D.C.,2022
1. Sin educación,600000.0,400000.0,-33.33333333333333,55,37,Bucaramanga A.M.,2022
2. Primaria,1000000.0,600000.0,-40.0,951,662,Bucaramanga A.M.,2022
