index,Rama,Mediana_COP,Costo_efectivo_COP,Mediana_SMMLV,Costo_SMMLV,Ciudad,Año
1,"Suministro de electricidad, gas, agua y gestión de desechos^",3200000,4928000,2.25,3.46,Arauca,2025
4,"Administración pública y defensa, educación y atención de la salud humana",2800000,4312000,1.97,3.03,Arauca,2025
3,Actividades financieras y de seguros,2300000,3542000,1.62,2.49,Arauca,2025
11,Información y comunicaciones,1500000,2310000,1.05,1.62,Arauca,2025
12,Actividades inmobiliarias,1423500,2192190,1.0,1.54,Arauca,2025
0,Comercio y reparación de vehículos,1300000,2002000,0.91,1.41,Arauca,2025
10,Industrias manufactureras,1200000,1848000,0.84,1.3,Arauca,2025
6,Construcción,1000000,1540000,0.7,1.08,Arauca,2025
5,Transporte y almacenamiento,1000000,1540000,0.7,1.08,Arauca,2025
9,"Agricultura, ganadería, caza, silvicultura y pesca",1000000,1540000,0.7,1.08,Arauca,2025
7,Alojamiento y servicios de comida,900000,1386000,0.63,0.97,Arauca,2025
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",800000,1232000,0.56,0.87,Arauca,2025
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",800000,1232000,0.56,0.87,Arauca,2025
0,"Administración pública y defensa, educación y atención de la salud humana",2500000,3850000,1.76,2.7,Armenia,2025
5,Actividades financieras y de seguros,2200000,3388000,1.55,2.38,Armenia,2025
12,Información y comunicaciones,2000000,3080000,1.4,2.16,Armenia,2025
1,Comercio y reparación de vehículos,1423500,2192190,1.0,1.54,Armenia,2025
2,Industrias manufactureras,1423500,2192190,1.0,1.54,Armenia,2025
11,Construcción,1423500,2192190,1.0,1.54,Armenia,2025
4,"Agricultura, ganadería, caza, silvicultura y pesca",1423500,2192190,1.0,1.54,Armenia,2025
7,Transporte y almacenamiento,1423500,2192190,1.0,1.54,Armenia,2025
6,Actividades inmobiliarias,1423500,2192190,1.0,1.54,Armenia,2025
10,"Suministro de electricidad, gas, agua y gestión de desechos^",1423500,2192190,1.0,1.54,Armenia,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1400000,2156000,0.98,1.51,Armenia,2025
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1300000,2002000,0.91,1.41,Armenia,2025
9,Alojamiento y servicios de comida,1200000,1848000,0.84,1.3,Armenia,2025
1,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,1.4,2.16,Barranquilla A.M.,2025
5,Actividades financieras y de seguros,2000000,3080000,1.4,2.16,Barranquilla A.M.,2025
12,Información y comunicaciones,1800000,2772000,1.26,1.95,Barranquilla A.M.,2025
9,"Agricultura, ganadería, caza, silvicultura y pesca",1600000,2464000,1.12,1.73,Barranquilla A.M.,2025
0,Industrias manufactureras,1500000,2310000,1.05,1.62,Barranquilla A.M.,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1500000,2310000,1.05,1.62,Barranquilla A.M.,2025
11,Actividades inmobiliarias,1465000,2256100,1.03,1.58,Barranquilla A.M.,2025
7,"Suministro de electricidad, gas, agua y gestión de desechos^",1425000,2194500,1.0,1.54,Barranquilla A.M.,2025
3,Transporte y almacenamiento,1400000,2156000,0.98,1.51,Barranquilla A.M.,2025
6,Comercio y reparación de vehículos,1400000,2156000,0.98,1.51,Barranquilla A.M.,2025
10,Construcción,1350000,2079000,0.95,1.46,Barranquilla A.M.,2025
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1000000,1540000,0.7,1.08,Barranquilla A.M.,2025
8,Alojamiento y servicios de comida,1000000,1540000,0.7,1.08,Barranquilla A.M.,2025
5,Información y comunicaciones,3200000,4928000,2.25,3.46,Bogotá D.C.,2025
6,Actividades financieras y de seguros,3060000,4712400,2.15,3.31,Bogotá D.C.,2025
8,"Administración pública y defensa, educación y atención de la salud humana",3000000,4620000,2.11,3.25,Bogotá D.C.,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",2000000,3080000,1.4,2.16,Bogotá D.C.,2025
10,Actividades inmobiliarias,1700000,2618000,1.19,1.84,Bogotá D.C.,2025
7,Construcción,1600000,2464000,1.12,1.73,Bogotá D.C.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",1600000,2464000,1.12,1.73,Bogotá D.C.,2025
1,Transporte y almacenamiento,1500000,2310000,1.05,1.62,Bogotá D.C.,2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1500000,2310000,1.05,1.62,Bogotá D.C.,2025
4,Industrias manufactureras,1500000,2310000,1.05,1.62,Bogotá D.C.,2025
2,Comercio y reparación de vehículos,1500000,2310000,1.05,1.62,Bogotá D.C.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",1500000,2310000,1.05,1.62,Bogotá D.C.,2025
9,Alojamiento y servicios de comida,1423500,2192190,1.0,1.54,Bogotá D.C.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",2500000,3850000,1.76,2.7,Bucaramanga A.M.,2025
11,Información y comunicaciones,2500000,3850000,1.76,2.7,Bucaramanga A.M.,2025
1,Actividades financieras y de seguros,2300000,3542000,1.62,2.49,Bucaramanga A.M.,2025
12,"Suministro de electricidad, gas, agua y gestión de desechos^",1680000,2587200,1.18,1.82,Bucaramanga A.M.,2025
9,Actividades inmobiliarias,1600000,2464000,1.12,1.73,Bucaramanga A.M.,2025
8,Construcción,1500000,2310000,1.05,1.62,Bucaramanga A.M.,2025
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1437000,2212980,1.01,1.55,Bucaramanga A.M.,2025
0,Transporte y almacenamiento,1423500,2192190,1.0,1.54,Bucaramanga A.M.,2025
4,Comercio y reparación de vehículos,1423500,2192190,1.0,1.54,Bucaramanga A.M.,2025
10,"Agricultura, ganadería, caza, silvicultura y pesca",1423500,2192190,1.0,1.54,Bucaramanga A.M.,2025
7,Industrias manufactureras,1423500,2192190,1.0,1.54,Bucaramanga A.M.,2025
3,Alojamiento y servicios de comida,1423000,2191420,1.0,1.54,Bucaramanga A.M.,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1400000,2156000,0.98,1.51,Bucaramanga A.M.,2025
11,Actividades financieras y de seguros,2600000,4004000,1.83,2.81,Cali A.M.,2025
7,"Administración pública y defensa, educación y atención de la salud humana",2400000,3696000,1.69,2.6,Cali A.M.,2025
10,Información y comunicaciones,2200000,3388000,1.55,2.38,Cali A.M.,2025
6,"Agricultura, ganadería, caza, silvicultura y pesca",1900000,2926000,1.33,2.06,Cali A.M.,2025
3,"Suministro de electricidad, gas, agua y gestión de desechos^",1623500,2500190,1.14,1.76,Cali A.M.,2025
12,Actividades inmobiliarias,1623500,2500190,1.14,1.76,Cali A.M.,2025
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1600000,2464000,1.12,1.73,Cali A.M.,2025
5,Industrias manufactureras,1500000,2310000,1.05,1.62,Cali A.M.,2025
4,Transporte y almacenamiento,1423500,2192190,1.0,1.54,Cali A.M.,2025
2,Construcción,1423500,2192190,1.0,1.54,Cali A.M.,2025
8,Comercio y reparación de vehículos,1423500,2192190,1.0,1.54,Cali A.M.,2025
1,Alojamiento y servicios de comida,1300000,2002000,0.91,1.41,Cali A.M.,2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1200000,1848000,0.84,1.3,Cali A.M.,2025
9,"Administración pública y defensa, educación y atención de la salud humana",2200000,3388000,1.55,2.38,Cartagena,2025
