index,Rama,Mediana_COP,Costo_efectivo_COP,Mediana_SMMLV,Costo_SMMLV,n_muestra,poblacion_estimada,Ciudad,Año
6,Información y comunicaciones,3000000,4620000,1.71,2.64,1687,438531.666662307,Todas (Panorama Nacional),2026
12,Actividades financieras y de seguros,2950000,4543000,1.68,2.59,1973,478223.448618838,Todas (Panorama Nacional),2026
11,"Administración pública y defensa, educación y atención de la salud humana",2900000,4466000,1.66,2.55,18599,3042419.2881386583,Todas (Panorama Nacional),2026
8,Actividades inmobiliarias,2000000,3080000,1.14,1.76,1331,316510.02486626024,Todas (Panorama Nacional),2026
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1940000,2987600,1.11,1.71,9422,1908353.069775601,Todas (Panorama Nacional),2026
3,"Suministro de electricidad, gas, agua y gestión de desechos^",1750905,2696394,1.0,1.54,2780,647789.221388754,Todas (Panorama Nacional),2026
7,Industrias manufactureras,1750000,2695000,1.0,1.54,10767,2575071.389183946,Todas (Panorama Nacional),2026
0,Comercio y reparación de vehículos,1700000,2618000,0.97,1.5,22115,4103780.7416517497,Todas (Panorama Nacional),2026
2,Construcción,1600000,2464000,0.91,1.41,8281,1671253.8545987871,Todas (Panorama Nacional),2026
5,Transporte y almacenamiento,1500000,2310000,0.86,1.32,9811,1804364.1730244837,Todas (Panorama Nacional),2026
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1200000,1848000,0.69,1.06,10759,2021870.5231101832,Todas (Panorama Nacional),2026
10,Alojamiento y servicios de comida,1200000,1848000,0.69,1.06,10020,1763051.4765268727,Todas (Panorama Nacional),2026
9,"Agricultura, ganadería, caza, silvicultura y pesca",1000000,1540000,0.57,0.88,10268,3216167.3006154364,Todas (Panorama Nacional),2026
0,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,1.14,1.76,117,6258.51720897325,Arauca,2026
9,Comercio y reparación de vehículos,1423500,2192190,0.81,1.25,106,5922.75678321,Arauca,2026
4,"Administración pública y defensa, educación y atención de la salud humana",3300000,5082000,1.88,2.9,519,23348.22713702175,Armenia,2026
1,Industrias manufactureras,1750900,2696386,1.0,1.54,297,13277.683628316001,Armenia,2026
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1750900,2696386,1.0,1.54,263,10999.64010866775,Armenia,2026
5,Comercio y reparación de vehículos,1750000,2695000,1.0,1.54,664,28974.76714702,Armenia,2026
7,Transporte y almacenamiento,1700000,2618000,0.97,1.5,206,9478.59082449575,Armenia,2026
0,Construcción,1600000,2464000,0.91,1.41,233,11296.26851083575,Armenia,2026
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1500000,2310000,0.86,1.32,340,14881.91991732625,Armenia,2026
2,Alojamiento y servicios de comida,1200000,1848000,0.69,1.06,285,12796.76331364175,Armenia,2026
0,"Administración pública y defensa, educación y atención de la salud humana",2600000,4004000,1.48,2.29,482,110145.4220275125,Barranquilla A.M.,2026
3,Actividades financieras y de seguros,2300000,3542000,1.31,2.02,89,18629.658191755,Barranquilla A.M.,2026
6,Información y comunicaciones,2300000,3542000,1.31,2.02,57,13183.6968615375,Barranquilla A.M.,2026
10,Actividades inmobiliarias,2000000,3080000,1.14,1.76,68,15484.76562357,Barranquilla A.M.,2026
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",2000000,3080000,1.14,1.76,400,91891.59799196,Barranquilla A.M.,2026
12,"Suministro de electricidad, gas, agua y gestión de desechos^",1750905,2696394,1.0,1.54,74,17059.05339067,Barranquilla A.M.,2026
7,Industrias manufactureras,1750905,2696394,1.0,1.54,464,114699.52894391,Barranquilla A.M.,2026
5,Construcción,1600000,2464000,0.91,1.41,281,70083.59440333,Barranquilla A.M.,2026
1,Comercio y reparación de vehículos,1600000,2464000,0.91,1.41,822,183131.905341745,Barranquilla A.M.,2026
8,Transporte y almacenamiento,1500000,2310000,0.86,1.32,386,99283.1349126775,Barranquilla A.M.,2026
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1380000,2125200,0.79,1.21,446,95398.6100901075,Barranquilla A.M.,2026
9,Alojamiento y servicios de comida,960000,1478400,0.55,0.84,367,82139.455005125,Barranquilla A.M.,2026
11,Información y comunicaciones,5000000,7700000,2.86,4.4,193,190549.395862525,Bogotá D.C.,2026
4,Actividades financieras y de seguros,3500000,5390000,2.0,3.08,187,179523.243153325,Bogotá D.C.,2026
0,"Administración pública y defensa, educación y atención de la salud humana",3500000,5390000,2.0,3.08,779,736814.58603425,Bogotá D.C.,2026
12,"Suministro de electricidad, gas, agua y gestión de desechos^",3000000,4620000,1.71,2.64,76,71494.24134125,Bogotá D.C.,2026
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",2400000,3696000,1.37,2.11,608,555927.33131635,Bogotá D.C.,2026
9,"Agricultura, ganadería, caza, silvicultura y pesca",2000000,3080000,1.14,1.76,35,29421.70585095,Bogotá D.C.,2026
10,Actividades inmobiliarias,2000000,3080000,1.14,1.76,114,106143.913229025,Bogotá D.C.,2026
