index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,n_muestra,poblacion_estimada,CV_%,Clasificacion_Precision,Ciudad,Año
9,Actividades financieras y de seguros,91.5,87.8,87.7,99.0,5995,419008.5952617291,0.8,✅ Precisión alta,Todas (Panorama Nacional),2022
3,"Administración pública y defensa, educación y atención de la salud humana",90.3,86.4,85.5,99.1,56478,2665402.9283269327,0.3,✅ Precisión alta,Todas (Panorama Nacional),2022
11,Información y comunicaciones,89.4,84.8,85.3,98.1,5273,382817.1159179378,0.9,✅ Precisión alta,Todas (Panorama Nacional),2022
12,Actividades inmobiliarias,86.4,75.9,84.9,98.5,3476,221281.87524259632,1.5,✅ Precisión alta,Todas (Panorama Nacional),2022
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",72.3,57.2,63.7,96.1,30060,1733591.4001901143,0.8,✅ Precisión alta,Todas (Panorama Nacional),2022
4,Industrias manufactureras,68.0,49.2,60.6,94.3,34756,2343551.6131574777,0.9,✅ Precisión alta,Todas (Panorama Nacional),2022
10,"Suministro de electricidad, gas, agua y gestión de desechos^",65.3,49.1,54.7,92.2,9525,587819.3574378147,1.6,✅ Precisión alta,Todas (Panorama Nacional),2022
8,Construcción,59.5,32.6,55.7,90.3,28922,1546653.7994614246,1.3,✅ Precisión alta,Todas (Panorama Nacional),2022
0,Comercio y reparación de vehículos,58.4,33.5,49.0,92.8,77235,3970353.6196406316,0.8,✅ Precisión alta,Todas (Panorama Nacional),2022
1,Transporte y almacenamiento,58.4,33.0,50.2,92.1,31597,1595131.2818622708,1.3,✅ Precisión alta,Todas (Panorama Nacional),2022
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.1,22.6,38.7,92.1,35925,1851396.919386121,1.5,✅ Precisión alta,Todas (Panorama Nacional),2022
2,Alojamiento y servicios de comida,47.1,18.5,36.1,86.8,30032,1482663.0655645453,1.9,✅ Precisión alta,Todas (Panorama Nacional),2022
5,"Agricultura, ganadería, caza, silvicultura y pesca",44.0,12.3,25.1,94.7,33088,3224135.8147105672,2.3,✅ Precisión alta,Todas (Panorama Nacional),2022
7,"Administración pública y defensa, educación y atención de la salud humana",95.2,93.0,92.8,99.9,1496,19835.569787725333,1.1,✅ Precisión alta,Armenia,2022
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",76.0,62.4,68.7,96.8,760,9930.0406633155,4.5,✅ Precisión alta,Armenia,2022
0,Industrias manufactureras,74.5,58.5,70.5,94.5,853,11271.974995236083,4.6,✅ Precisión alta,Armenia,2022
2,Transporte y almacenamiento,69.9,50.2,65.8,93.8,462,6082.663507498583,7.3,⚠️  Precisión aceptable,Armenia,2022
3,Construcción,69.5,45.7,70.1,92.8,827,11013.206099499,6.0,✅ Precisión alta,Armenia,2022
1,Comercio y reparación de vehículos,66.5,45.5,59.7,94.2,1971,25402.36732456525,3.9,✅ Precisión alta,Armenia,2022
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",57.3,30.0,47.7,94.2,884,11342.029500232584,8.1,⚠️  Precisión aceptable,Armenia,2022
6,Alojamiento y servicios de comida,53.4,28.3,42.8,89.2,672,8555.068885930834,9.7,⚠️  Precisión aceptable,Armenia,2022
3,"Administración pública y defensa, educación y atención de la salud humana",88.8,84.1,83.2,99.0,1448,96709.0490425425,1.8,✅ Precisión alta,Barranquilla A.M.,2022
11,Información y comunicaciones,87.7,79.9,84.7,98.4,212,15413.500447971666,5.4,✅ Precisión alta,Barranquilla A.M.,2022
8,Actividades inmobiliarias,87.6,76.1,86.6,100.0,150,10456.217098540834,7.2,⚠️  Precisión aceptable,Barranquilla A.M.,2022
10,Actividades financieras y de seguros,81.9,69.0,80.5,96.2,191,13086.113070780833,7.7,⚠️  Precisión aceptable,Barranquilla A.M.,2022
1,Industrias manufactureras,72.7,55.7,66.1,96.3,1358,92334.84840561167,3.8,✅ Precisión alta,Barranquilla A.M.,2022
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",67.5,49.8,59.0,93.7,1067,69784.04411143667,4.9,✅ Precisión alta,Barranquilla A.M.,2022
6,"Suministro de electricidad, gas, agua y gestión de desechos^",62.6,53.3,50.7,83.9,261,16602.1572932925,9.2,⚠️  Precisión aceptable,Barranquilla A.M.,2022
0,Comercio y reparación de vehículos,55.3,29.8,44.1,91.9,2825,188713.783500545,4.6,✅ Precisión alta,Barranquilla A.M.,2022
4,Construcción,55.3,30.9,43.2,91.9,930,62228.56785877833,7.8,⚠️  Precisión aceptable,Barranquilla A.M.,2022
7,Transporte y almacenamiento,54.9,28.3,44.2,92.1,1135,79290.58286637667,7.5,⚠️  Precisión aceptable,Barranquilla A.M.,2022
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",45.1,13.4,31.1,90.9,1338,87350.52734481334,11.0,⚠️  Precisión aceptable,Barranquilla A.M.,2022
2,Alojamiento y servicios de comida,42.7,13.7,27.7,86.6,1038,67142.3947031525,12.3,⚠️  Precisión aceptable,Barranquilla A.M.,2022
8,Actividades financieras y de seguros,96.3,96.4,92.5,100.0,492,153180.21579024167,1.4,✅ Precisión alta,Bogotá D.C.,2022
