index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,CV_%,Clasificacion_Precision,Ciudad,Año
1,"Administración pública y defensa, educación y atención de la salud humana",95.9,93.0,95.0,99.8,1.0,✅ Precisión alta,Arauca,2025
0,Comercio y reparación de vehículos,56.1,27.3,44.1,96.9,5.8,✅ Precisión alta,Arauca,2025
0,"Administración pública y defensa, educación y atención de la salud humana",93.1,90.2,89.5,99.7,0.5,✅ Precisión alta,Armenia,2025
2,Industrias manufactureras,71.2,56.4,61.8,95.5,1.4,✅ Precisión alta,Armenia,2025
1,Comercio y reparación de vehículos,63.8,42.8,53.9,94.8,1.8,✅ Precisión alta,Armenia,2025
4,Transporte y almacenamiento,62.0,43.3,50.5,92.1,1.8,✅ Precisión alta,Armenia,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",61.7,40.7,47.8,96.6,1.9,✅ Precisión alta,Armenia,2025
7,Construcción,57.7,31.6,51.7,89.8,2.3,✅ Precisión alta,Armenia,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",55.7,29.6,42.8,94.8,2.4,✅ Precisión alta,Armenia,2025
6,Alojamiento y servicios de comida,49.2,22.2,34.4,91.1,2.9,✅ Precisión alta,Armenia,2025
1,"Administración pública y defensa, educación y atención de la salud humana",90.5,85.4,86.4,99.9,0.6,✅ Precisión alta,Barranquilla A.M.,2025
10,Actividades inmobiliarias,87.7,83.5,80.2,99.4,0.6,✅ Precisión alta,Barranquilla A.M.,2025
11,Información y comunicaciones,86.7,81.5,79.2,99.3,0.7,✅ Precisión alta,Barranquilla A.M.,2025
5,Actividades financieras y de seguros,86.0,77.6,82.8,97.5,0.8,✅ Precisión alta,Barranquilla A.M.,2025
0,Industrias manufactureras,75.3,61.9,66.0,97.9,1.1,✅ Precisión alta,Barranquilla A.M.,2025
7,"Suministro de electricidad, gas, agua y gestión de desechos^",74.3,62.5,63.9,96.4,1.1,✅ Precisión alta,Barranquilla A.M.,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",72.8,56.5,63.1,98.7,1.3,✅ Precisión alta,Barranquilla A.M.,2025
6,Comercio y reparación de vehículos,59.0,35.2,45.9,95.9,1.9,✅ Precisión alta,Barranquilla A.M.,2025
3,Transporte y almacenamiento,58.1,28.5,48.6,97.2,2.3,✅ Precisión alta,Barranquilla A.M.,2025
9,Construcción,57.5,33.3,44.1,95.2,2.0,✅ Precisión alta,Barranquilla A.M.,2025
8,Alojamiento y servicios de comida,47.5,18.3,29.2,95.0,3.0,✅ Precisión alta,Barranquilla A.M.,2025
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",46.6,12.6,30.6,96.5,3.8,✅ Precisión alta,Barranquilla A.M.,2025
6,Actividades financieras y de seguros,95.8,95.9,92.0,99.4,0.3,✅ Precisión alta,Bogotá D.C.,2025
5,Información y comunicaciones,92.9,92.4,88.0,98.3,0.4,✅ Precisión alta,Bogotá D.C.,2025
8,"Administración pública y defensa, educación y atención de la salud humana",92.0,90.4,86.8,98.7,0.4,✅ Precisión alta,Bogotá D.C.,2025
10,Actividades inmobiliarias,90.4,87.5,85.4,98.3,0.5,✅ Precisión alta,Bogotá D.C.,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",80.5,71.2,73.5,96.7,0.9,✅ Precisión alta,Bogotá D.C.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",80.5,73.9,69.2,98.5,0.8,✅ Precisión alta,Bogotá D.C.,2025
4,Industrias manufactureras,75.1,64.3,67.7,93.5,1.0,✅ Precisión alta,Bogotá D.C.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",73.2,64.3,63.3,92.0,1.0,✅ Precisión alta,Bogotá D.C.,2025
7,Construcción,70.1,52.6,66.7,91.2,1.3,✅ Precisión alta,Bogotá D.C.,2025
1,Transporte y almacenamiento,69.3,52.2,65.9,89.9,1.3,✅ Precisión alta,Bogotá D.C.,2025
2,Comercio y reparación de vehículos,67.4,48.9,61.8,91.5,1.4,✅ Precisión alta,Bogotá D.C.,2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",62.9,41.7,53.9,93.1,1.6,✅ Precisión alta,Bogotá D.C.,2025
9,Alojamiento y servicios de comida,55.3,31.6,52.1,82.2,2.0,✅ Precisión alta,Bogotá D.C.,2025
1,Actividades financieras y de seguros,94.7,90.8,93.8,99.7,0.5,✅ Precisión alta,Bucaramanga A.M.,2025
9,Actividades inmobiliarias,94.6,92.0,91.8,100.0,0.4,✅ Precisión alta,Bucaramanga A.M.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",93.0,89.8,89.8,99.4,0.5,✅ Precisión alta,Bucaramanga A.M.,2025
11,Información y comunicaciones,91.4,85.1,91.4,97.7,0.6,✅ Precisión alta,Bucaramanga A.M.,2025
12,"Suministro de electricidad, gas, agua y gestión de desechos^",76.9,68.8,64.0,97.9,1.0,✅ Precisión alta,Bucaramanga A.M.,2025
10,"Agricultura, ganadería, caza, silvicultura y pesca",72.6,53.6,66.5,97.7,1.3,✅ Precisión alta,Bucaramanga A.M.,2025
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",72.6,55.7,62.8,99.2,1.3,✅ Precisión alta,Bucaramanga A.M.,2025
7,Industrias manufactureras,69.8,49.2,62.7,97.4,1.5,✅ Precisión alta,Bucaramanga A.M.,2025
8,Construcción,68.9,40.0,71.6,94.9,1.8,✅ Precisión alta,Bucaramanga A.M.,2025
4,Comercio y reparación de vehículos,66.8,45.3,59.3,95.7,1.6,✅ Precisión alta,Bucaramanga A.M.,2025
0,Transporte y almacenamiento,60.9,32.4,55.1,95.2,2.1,✅ Precisión alta,Bucaramanga A.M.,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",55.9,23.8,48.2,95.6,2.6,✅ Precisión alta,Bucaramanga A.M.,2025
