index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,n_muestra,poblacion_estimada,Ciudad,Año
0,Comercio y reparación de vehículos,2225319.202675163,1879083.9058718272,4104403.10854699,17.22616035475214,15.970858399401122,18.994177988054865,4104.40310854699,2225.3192026751626,1879.0839058718273,68850,4104403.1085469895,Todas (Panorama Nacional),2025
1,"Agricultura, ganadería, caza, silvicultura y pesca",2809210.444400999,576892.6947763365,3386103.139177336,14.211458794515869,20.161378272255096,5.831353507073125,3386.103139177336,2809.210444400999,576.8926947763365,31412,3386103.139177336,Todas (Panorama Nacional),2025
2,"Administración pública y defensa, educación y atención de la salud humana",1067090.6227898824,1816408.02417598,2883498.6469658623,12.102030127574178,7.658385913993166,18.36063690520638,2883.4986469658625,1067.0906227898824,1816.4080241759798,53184,2883498.6469658623,Todas (Panorama Nacional),2025
3,Industrias manufactureras,1516339.537459543,1092984.506390897,2609324.04385044,10.951320620354556,10.882593386632825,11.048118813482647,2609.32404385044,1516.339537459543,1092.9845063908972,33075,2609324.04385044,Todas (Panorama Nacional),2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",637512.392378439,1354007.9431892408,1991520.3355676797,8.358401390643008,4.575352665945489,13.68659898039208,1991.5203355676797,637.512392378439,1354.0079431892407,33827,1991520.33556768,Todas (Panorama Nacional),2025
5,Alojamiento y servicios de comida,590818.6890710774,1243598.2713662216,1834416.960437299,7.699039271305081,4.240237360793298,12.570554640032434,1834.416960437299,590.8186890710774,1243.5982713662215,31833,1834416.960437299,Todas (Panorama Nacional),2025
6,Transporte y almacenamiento,1635540.757626522,184202.9183439015,1819743.6759704235,7.637455566081066,11.738086749577823,1.861962100792882,1819.7436759704235,1635.540757626522,184.2029183439015,30119,1819743.6759704235,Todas (Panorama Nacional),2025
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",794618.6529594363,1017227.3554076768,1811846.008367113,7.604309092656012,5.702886117498052,10.282349490917131,1811.846008367113,794.6186529594363,1017.2273554076768,27521,1811846.008367113,Todas (Panorama Nacional),2025
8,Construcción,1494352.8991145417,110254.02750067016,1604606.9266152119,6.734527650722148,10.724797827566633,1.1144710545940195,1604.606926615212,1494.3528991145417,110.25402750067016,25303,1604606.926615212,Todas (Panorama Nacional),2025
9,"Suministro de electricidad, gas, agua y gestión de desechos^",496129.7693761388,120605.91359640293,616735.6829725418,2.588436732556615,3.5606659417257926,1.21911011110448,616.7356829725418,496.1297693761388,120.60591359640293,8224,616735.6829725418,Todas (Panorama Nacional),2025
10,Actividades financieras y de seguros,189186.73450854616,247026.0063464656,436212.74085501174,1.8307828017931986,1.3577713005167193,2.49699117615836,436.21274085501176,189.18673450854615,247.0260063464656,5578,436212.7408550117,Todas (Panorama Nacional),2025
11,Información y comunicaciones,264549.66755801835,141648.97722170164,406198.64477972,1.704813783102209,1.898642349869886,1.4318178537783988,406.19864477972,264.54966755801837,141.64897722170164,4879,406198.64477972,Todas (Panorama Nacional),2025
12,Actividades inmobiliarias,212953.65161325943,109006.16323825442,321959.81485151383,1.35126381394392,1.5283437142240972,1.1018573784132,321.95981485151384,212.95365161325944,109.00616323825442,4218,321959.81485151383,Todas (Panorama Nacional),2025
0,"Administración pública y defensa, educación y atención de la salud humana",2663.54946301725,4725.512014827166,7389.061477844416,52.95743044332928,41.18063330342319,63.134222593505584,7.389061477844416,2.66354946301725,4.725512014827166,406,7389.061477844417,Arauca,2025
1,Comercio y reparación de vehículos,3804.4167855635833,2759.3540700104168,6563.770855574,47.04256955667071,58.819366696576814,36.865777406494416,6.563770855574,3.8044167855635833,2.7593540700104167,346,6563.770855574,Arauca,2025
0,Comercio y reparación de vehículos,17827.694241636334,13584.467333721834,31412.16157535817,24.750006650479214,26.245604802233665,23.027880856195512,31.41216157535817,17.827694241636333,13.584467333721834,2298,31412.16157535817,Armenia,2025
1,"Administración pública y defensa, educación y atención de la salud humana",8577.68383480575,12357.337014611585,20935.020849417335,16.49494588291771,12.627908971034515,20.94769544374667,20.935020849417334,8.57768383480575,12.357337014611584,1487,20935.02084941733,Armenia,2025
2,Industrias manufactureras,8966.191411986583,5355.1469284335,14321.338340420083,11.283948680794294,13.199862707460364,9.0778447476749,14.321338340420082,8.966191411986584,5.3551469284335,1025,14321.338340420083,Armenia,2025
3,Alojamiento y servicios de comida,4857.461086278084,8875.075093527666,13732.53617980575,10.820024625263738,7.151065207015896,15.0446952996242,13.732536179805749,4.857461086278084,8.875075093527666,1009,13732.53617980575,Armenia,2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",4723.106765028917,8720.824067116417,13443.930832145334,10.592629122511624,6.953271237073189,14.78321472987624,13.443930832145334,4.723106765028917,8.720824067116416,1012,13443.930832145334,Armenia,2025
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",4530.9019555665,8447.106323340584,12978.008278907084,10.225523335678378,6.670310838388664,14.319218649864348,12.978008278907083,4.5309019555665,8.447106323340584,966,12978.008278907084,Armenia,2025
6,Construcción,10281.838324265333,675.73881164525,10957.577135910582,8.633602190550098,15.136733984863293,1.145487155454821,10.957577135910581,10.281838324265333,0.6757388116452501,782,10957.577135910584,Armenia,2025
7,Transporte y almacenamiento,8161.521394560334,975.6958567759168,9137.217251336251,7.199319511804945,12.015242251930417,1.6539631175633027,9.137217251336251,8.161521394560333,0.9756958567759169,656,9137.21725133625,Armenia,2025
0,Comercio y reparación de vehículos,111282.90895647331,85009.24499471167,196292.153951185,21.284303741243562,21.089366089846965,21.545003775828146,196.29215395118499,111.28290895647332,85.00924499471166,2640,196292.153951185,Barranquilla A.M.,2025
1,"Administración pública y defensa, educación y atención de la salud humana",43730.20437566917,72079.00899287917,115809.21336854834,12.557396838101115,8.287366837463212,18.267925106335664,115.80921336854834,43.730204375669175,72.07900899287917,1572,115809.21336854831,Barranquilla A.M.,2025
2,Industrias manufactureras,79707.44798336083,35561.28764992833,115268.73563328916,12.498791885987254,15.10546018585856,9.012761808891247,115.26873563328917,79.70744798336084,35.56128764992833,1458,115268.73563328916,Barranquilla A.M.,2025
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",29195.1395629825,76964.77336897916,106159.91293196166,11.511106208298868,5.532808155911321,19.50618821451207,106.15991293196166,29.195139562982497,76.96477336897917,1452,106159.91293196166,Barranquilla A.M.,2025
4,Transporte y almacenamiento,90308.45307696416,6339.314771569167,96647.76784853332,10.479687574842869,17.11447018960297,1.6066553784605118,96.64776784853332,90.30845307696416,6.339314771569167,1225,96647.76784853332,Barranquilla A.M.,2025
5,Alojamiento y servicios de comida,28408.138752296665,50115.98862075667,78524.12737305333,8.51450933917512,5.383662627948428,12.701549862379471,78.52412737305333,28.408138752296665,50.11598862075667,1056,78524.12737305333,Barranquilla A.M.,2025
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",36353.766071805,41805.21293970833,78158.97901151334,8.474915659645946,6.889448601068008,10.595241384526435,78.15897901151334,36.353766071805005,41.80521293970833,1089,78158.97901151334,Barranquilla A.M.,2025
7,Construcción,65597.47746471583,5564.5716362816665,71162.0491009975,7.7162262343485555,12.43146166645391,1.4103021021068105,71.16204910099749,65.59747746471584,5.564571636281666,916,71162.0491009975,Barranquilla A.M.,2025
8,"Suministro de electricidad, gas, agua y gestión de desechos^",15310.931084454169,4609.57226408,19920.50334853417,2.1600152396009773,2.9015940888350458,1.168264132221554,19.92050334853417,15.310931084454168,4.6095722640800005,251,19920.503348534166,Barranquilla A.M.,2025
9,Actividades financieras y de seguros,8394.817738055,8173.807797658334,16568.625535713334,1.7965652288106548,1.5909126225719896,2.071594917404544,16.568625535713334,8.394817738055,8.173807797658334,220,16568.625535713334,Barranquilla A.M.,2025
10,Información y comunicaciones,9515.470515906669,5089.152643878333,14604.623159785002,1.5836049944032302,1.8032889606219036,1.2898104545563889,14.604623159785001,9.515470515906669,5.089152643878333,190,14604.623159785,Barranquilla A.M.,2025
11,Actividades inmobiliarias,9868.330855169166,3253.9965385533333,13122.327393722499,1.4228770555418553,1.8701599738176953,0.8247028627771555,13.122327393722498,9.868330855169166,3.2539965385533334,166,13122.3273937225,Barranquilla A.M.,2025
0,Comercio y reparación de vehículos,417269.8098108833,335305.6499785,752575.4597893832,17.45864880058957,18.33784006925541,16.47564818949428,752.5754597893832,417.2698098108833,335.30564997849996,2409,752575.4597893833,Bogotá D.C.,2025
1,"Administración pública y defensa, educación y atención de la salud humana",249518.34544775,439559.8860739584,689078.2315217084,15.985606072825831,10.965632800608908,21.59830602804662,689.0782315217084,249.51834544775,439.5598860739584,2146,689078.2315217083,Bogotá D.C.,2025
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",264751.13719426666,293726.2343004,558477.3714946667,12.955857336526094,11.635071356402097,14.432593368673208,558.4773714946667,264.7511371942667,293.7262343004,1750,558477.3714946667,Bogotá D.C.,2025
3,Industrias manufactureras,311414.45906924165,241798.57493865836,553213.0340079,12.833732414495074,13.685793727213694,11.88106509289613,553.2130340079001,311.4144590692417,241.79857493865836,1738,553213.0340079,Bogotá D.C.,2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",112867.40540235832,231029.1089146417,343896.514317,7.977895623766027,4.960206515391849,11.351894369373316,343.89651431699997,112.86740540235832,231.02910891464168,1121,343896.514317,Bogotá D.C.,2025
5,Transporte y almacenamiento,276538.07996200834,61493.42412948333,338031.5040914917,7.841835973657754,12.153074495613815,3.0215536838991213,338.0315040914917,276.53807996200834,61.49342412948333,1073,338031.5040914917,Bogotá D.C.,2025
6,Alojamiento y servicios de comida,117668.39417880832,166570.97727815,284239.37145695835,6.5939372550842315,5.17119653261052,8.18466620049801,284.23937145695834,117.66839417880831,166.57097727815,892,284239.37145695835,Bogotá D.C.,2025
7,Construcción,212323.41338220832,32629.530770225,244952.9441524333,5.68254966196294,9.331019656864203,1.603291413648939,244.9529441524333,212.32341338220832,32.629530770225,763,244952.9441524333,Bogotá D.C.,2025
8,Actividades financieras y de seguros,75014.476371475,95758.31756459166,170772.79393606668,3.9616787861507423,3.296676246964773,4.7052006177445715,170.77279393606668,75.014476371475,95.75831756459166,513,170772.79393606668,Bogotá D.C.,2025
9,Información y comunicaciones,104591.18015265831,66090.75347281666,170681.93362547498,3.959570959976106,4.596489583474543,3.2474490151494466,170.68193362547498,104.59118015265831,66.09075347281666,506,170681.933625475,Bogotá D.C.,2025
10,Actividades inmobiliarias,60470.97282856666,42580.13055288333,103051.10338145,2.390634718481907,2.65752997818157,2.092226155142406,103.05110338144999,60.47097282856666,42.58013055288333,328,103051.10338145,Bogotá D.C.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",49515.70372968334,20007.695087341668,69523.39881702501,1.6128410614258608,2.176076568595027,0.9831022691172997,69.52339881702501,49.51570372968334,20.007695087341666,210,69523.398817025,Bogotá D.C.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",23514.40940140833,8608.7960956,32123.205497008334,0.7452113350578703,1.0333924688235978,0.4230035963166507,32.123205497008335,23.514409401408333,8.6087960956,103,32123.205497008334,Bogotá D.C.,2025
0,Comercio y reparación de vehículos,69921.52866298417,55384.615068885,125306.14373186918,20.541919887913224,21.286090210310462,19.67359557703739,125.30614373186917,69.92152866298417,55.384615068885005,2675,125306.14373186916,Bucaramanga A.M.,2025
1,"Administración pública y defensa, educación y atención de la salud humana",30553.41724282667,59907.309031472,90460.72627429868,14.829576082920218,9.301324042824593,21.28013652397687,90.46072627429868,30.55341724282667,59.907309031472,1727,90460.72627429866,Bucaramanga A.M.,2025
2,Industrias manufactureras,47383.91298684583,32773.44489087,80157.35787771584,13.140505125384777,14.425002794446273,11.641707713366962,80.15735787771584,47.383912986845836,32.77344489087,1618,80157.35787771584,Bucaramanga A.M.,2025
3,Transporte y almacenamiento,54913.4647098475,5313.046125244166,60226.51083509167,9.873164426401075,16.71721122128892,1.8872880243041037,60.22651083509167,54.9134647098475,5.313046125244166,1191,60226.51083509166,Bucaramanga A.M.,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",22288.38650470833,31267.2111700375,53555.59767474583,8.77957587888121,6.785215009646209,11.106666835475176,53.55559767474583,22.28838650470833,31.2672111700375,1103,53555.59767474583,Bucaramanga A.M.,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",14402.7365247775,37976.2366596745,52378.973184452,8.586687283813662,4.384600205459279,13.48983143876779,52.378973184452,14.402736524777499,37.9762366596745,1067,52378.973184452,Bucaramanga A.M.,2025
6,Alojamiento y servicios de comida,17046.687345530834,31972.127637436668,49018.8149829675,8.0358435779112,5.189493587488177,11.357065641677158,49.018814982967506,17.046687345530835,31.972127637436667,1047,49018.8149829675,Bucaramanga A.M.,2025
7,Construcción,31784.7130370265,2825.36521395,34610.0782509765,5.673763740326077,9.676165294897912,1.0036197328003034,34.6100782509765,31.7847130370265,2.82536521395,661,34610.0782509765,Bucaramanga A.M.,2025
8,Actividades financieras y de seguros,6942.399156451666,9350.7348948825,16293.134051334167,2.6709963648846613,2.1134625850713844,3.321546542143604,16.293134051334167,6.942399156451667,9.3507348948825,275,16293.134051334167,Bucaramanga A.M.,2025
9,Actividades inmobiliarias,9649.411950385833,5588.337759100833,15237.749709486667,2.497983135401041,2.9375538146822104,1.985076485296416,15.237749709486666,9.649411950385833,5.588337759100833,254,15237.749709486669,Bucaramanga A.M.,2025
10,Información y comunicaciones,6909.3523179133335,4265.909232094167,11175.2615500075,1.8320037681308565,2.1034021930899245,1.5153264655931526,11.175261550007502,6.909352317913333,4.265909232094168,204,11175.2615500075,Bucaramanga A.M.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",7929.443653021666,2861.57678068,10791.020433701666,1.7690136385671664,2.4139468364504904,1.0164827222454922,10.791020433701666,7.929443653021666,2.86157678068,205,10791.020433701666,Bucaramanga A.M.,2025
