index,Rama,IVI,Ocupados_miles,Ciudad,Año
0,Comercio y reparación de vehículos,42.1,7,Arauca,2023
1,"Administración pública y defensa, educación y atención de la salud humana",7.4,5,Arauca,2023
7,Alojamiento y servicios de comida,34.7,11,Armenia,2023
5,Transporte y almacenamiento,32.0,8,Armenia,2023
3,Comercio y reparación de vehículos,29.0,28,Armenia,2023
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",28.8,12,Armenia,2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",26.8,12,Armenia,2023
6,Construcción,24.9,11,Armenia,2023
0,Industrias manufactureras,21.3,12,Armenia,2023
2,"Administración pública y defensa, educación y atención de la salud humana",5.9,22,Armenia,2023
4,Transporte y almacenamiento,41.9,89,Barranquilla A.M.,2023
0,Alojamiento y servicios de comida,36.7,73,Barranquilla A.M.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",35.5,105,Barranquilla A.M.,2023
9,Construcción,34.1,64,Barranquilla A.M.,2023
3,Comercio y reparación de vehículos,32.4,209,Barranquilla A.M.,2023
11,"Suministro de electricidad, gas, agua y gestión de desechos^",24.5,15,Barranquilla A.M.,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",21.3,79,Barranquilla A.M.,2023
2,Industrias manufactureras,20.0,108,Barranquilla A.M.,2023
1,Actividades inmobiliarias,13.1,14,Barranquilla A.M.,2023
7,Información y comunicaciones,11.7,18,Barranquilla A.M.,2023
10,Actividades financieras y de seguros,11.0,18,Barranquilla A.M.,2023
8,"Administración pública y defensa, educación y atención de la salud humana",8.6,114,Barranquilla A.M.,2023
4,Alojamiento y servicios de comida,30.3,224,Bogotá D.C.,2023
2,Transporte y almacenamiento,28.2,324,Bogotá D.C.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",24.8,317,Bogotá D.C.,2023
1,Comercio y reparación de vehículos,24.3,740,Bogotá D.C.,2023
8,"Suministro de electricidad, gas, agua y gestión de desechos^",23.5,81,Bogotá D.C.,2023
9,Construcción,21.8,212,Bogotá D.C.,2023
0,Industrias manufactureras,18.6,462,Bogotá D.C.,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",14.8,568,Bogotá D.C.,2023
12,"Agricultura, ganadería, caza, silvicultura y pesca",12.5,21,Bogotá D.C.,2023
3,Actividades inmobiliarias,10.8,85,Bogotá D.C.,2023
7,"Administración pública y defensa, educación y atención de la salud humana",8.2,687,Bogotá D.C.,2023
11,Información y comunicaciones,7.5,165,Bogotá D.C.,2023
10,Actividades financieras y de seguros,5.2,164,Bogotá D.C.,2023
0,Transporte y almacenamiento,38.2,59,Bucaramanga A.M.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",29.7,50,Bucaramanga A.M.,2023
7,Alojamiento y servicios de comida,28.9,43,Bucaramanga A.M.,2023
3,Comercio y reparación de vehículos,26.1,131,Bucaramanga A.M.,2023
4,Industrias manufactureras,22.7,72,Bucaramanga A.M.,2023
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",20.7,57,Bucaramanga A.M.,2023
8,Construcción,20.0,37,Bucaramanga A.M.,2023
12,"Suministro de electricidad, gas, agua y gestión de desechos^",19.2,12,Bucaramanga A.M.,2023
6,"Agricultura, ganadería, caza, silvicultura y pesca",10.3,10,Bucaramanga A.M.,2023
11,Actividades inmobiliarias,9.4,11,Bucaramanga A.M.,2023
10,Información y comunicaciones,8.3,11,Bucaramanga A.M.,2023
1,"Administración pública y defensa, educación y atención de la salud humana",7.1,88,Bucaramanga A.M.,2023
9,Actividades financieras y de seguros,4.9,13,Bucaramanga A.M.,2023
0,Transporte y almacenamiento,37.1,85,Cali A.M.,2023
9,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.0,124,Cali A.M.,2023
3,Alojamiento y servicios de comida,27.9,87,Cali A.M.,2023
1,Comercio y reparación de vehículos,24.9,230,Cali A.M.,2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",22.5,91,Cali A.M.,2023
6,Construcción,22.4,76,Cali A.M.,2023
11,"Suministro de electricidad, gas, agua y gestión de desechos^",22.1,18,Cali A.M.,2023
2,Industrias manufactureras,17.0,171,Cali A.M.,2023
10,"Agricultura, ganadería, caza, silvicultura y pesca",14.5,8,Cali A.M.,2023
5,Actividades inmobiliarias,10.4,21,Cali A.M.,2023
7,"Administración pública y defensa, educación y atención de la salud humana",9.7,153,Cali A.M.,2023
8,Información y comunicaciones,8.7,21,Cali A.M.,2023
12,Actividades financieras y de seguros,6.9,23,Cali A.M.,2023
1,Transporte y almacenamiento,41.5,59,Cartagena,2023
2,Construcción,35.6,35,Cartagena,2023
5,Comercio y reparación de vehículos,34.0,83,Cartagena,2023
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.4,48,Cartagena,2023
6,Alojamiento y servicios de comida,30.9,45,Cartagena,2023
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",25.3,37,Cartagena,2023
8,Industrias manufactureras,21.7,32,Cartagena,2023
9,"Suministro de electricidad, gas, agua y gestión de desechos^",17.8,9,Cartagena,2023
10,Actividades inmobiliarias,13.9,7,Cartagena,2023
3,Actividades financieras y de seguros,10.0,6,Cartagena,2023
4,"Administración pública y defensa, educación y atención de la salud humana",6.6,52,Cartagena,2023
4,Transporte y almacenamiento,48.4,32,Cúcuta A.M.,2023
6,Construcción,44.4,33,Cúcuta A.M.,2023
7,Alojamiento y servicios de comida,43.3,34,Cúcuta A.M.,2023
8,"Agricultura, ganadería, caza, silvicultura y pesca",42.6,5,Cúcuta A.M.,2023
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",39.5,36,Cúcuta A.M.,2023
2,Industrias manufactureras,37.8,57,Cúcuta A.M.,2023
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",37.1,33,Cúcuta A.M.,2023
0,Comercio y reparación de vehículos,35.5,110,Cúcuta A.M.,2023
5,"Suministro de electricidad, gas, agua y gestión de desechos^",27.4,12,Cúcuta A.M.,2023
10,Actividades financieras y de seguros,18.7,5,Cúcuta A.M.,2023
9,"Administración pública y defensa, educación y atención de la salud humana",9.7,49,Cúcuta A.M.,2023
4,Transporte y almacenamiento,49.0,5,Florencia,2023
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",35.5,7,Florencia,2023
5,Alojamiento y servicios de comida,35.1,5,Florencia,2023
6,Construcción,35.1,5,Florencia,2023
2,Comercio y reparación de vehículos,34.7,16,Florencia,2023
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",31.3,5,Florencia,2023
1,"Administración pública y defensa, educación y atención de la salud humana",10.3,12,Florencia,2023
6,Transporte y almacenamiento,37.9,11,Ibagué,2023
2,Construcción,32.7,13,Ibagué,2023
3,Alojamiento y servicios de comida,30.9,11,Ibagué,2023
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.5,11,Ibagué,2023
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",28.0,15,Ibagué,2023
0,Comercio y reparación de vehículos,25.5,30,Ibagué,2023
8,Industrias manufactureras,22.9,10,Ibagué,2023
7,"Suministro de electricidad, gas, agua y gestión de desechos^",13.2,5,Ibagué,2023
1,"Administración pública y defensa, educación y atención de la salud humana",5.6,25,Ibagué,2023
2,Transporte y almacenamiento,26.1,13,Manizales A.M.,2023
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",25.8,20,Manizales A.M.,2023
4,Alojamiento y servicios de comida,24.8,15,Manizales A.M.,2023
5,Comercio y reparación de vehículos,24.4,39,Manizales A.M.,2023
6,Construcción,20.2,16,Manizales A.M.,2023
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",13.1,30,Manizales A.M.,2023
8,Industrias manufactureras,8.4,33,Manizales A.M.,2023
0,"Administración pública y defensa, educación y atención de la salud humana",5.6,36,Manizales A.M.,2023
1,Información y comunicaciones,5.3,6,Manizales A.M.,2023
5,Transporte y almacenamiento,32.3,155,Medellín A.M.,2023
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",27.6,179,Medellín A.M.,2023
4,Alojamiento y servicios de comida,24.1,134,Medellín A.M.,2023
3,Comercio y reparación de vehículos,23.6,399,Medellín A.M.,2023
9,Construcción,21.7,139,Medellín A.M.,2023
10,"Suministro de electricidad, gas, agua y gestión de desechos^",20.5,33,Medellín A.M.,2023
12,"Agricultura, ganadería, caza, silvicultura y pesca",17.7,12,Medellín A.M.,2023
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",15.9,218,Medellín A.M.,2023
0,Industrias manufactureras,14.9,337,Medellín A.M.,2023
7,Actividades inmobiliarias,11.3,39,Medellín A.M.,2023
11,Información y comunicaciones,9.0,52,Medellín A.M.,2023
1,"Administración pública y defensa, educación y atención de la salud humana",8.4,243,Medellín A.M.,2023
6,Actividades financieras y de seguros,4.4,56,Medellín A.M.,2023
2,Transporte y almacenamiento,53.2,19,Montería,2023
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.8,23,Montería,2023
6,Alojamiento y servicios de comida,32.7,14,Montería,2023
0,Construcción,28.7,12,Montería,2023
1,Comercio y reparación de vehículos,27.9,39,Montería,2023
5,Industrias manufactureras,26.3,11,Montería,2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",23.2,14,Montería,2023
3,"Administración pública y defensa, educación y atención de la salud humana",4.5,31,Montería,2023
4,Transporte y almacenamiento,47.6,15,Pasto,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",34.3,15,Pasto,2023
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",31.4,15,Pasto,2023
1,Comercio y reparación de vehículos,30.7,39,Pasto,2023
0,Alojamiento y servicios de comida,29.8,11,Pasto,2023
2,Industrias manufactureras,29.7,11,Pasto,2023
7,Construcción,27.6,8,Pasto,2023
6,"Administración pública y defensa, educación y atención de la salud humana",8.0,31,Pasto,2023
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.0,27,Pereira A.M.,2023
3,Transporte y almacenamiento,28.6,20,Pereira A.M.,2023
2,Alojamiento y servicios de comida,28.4,24,Pereira A.M.,2023
1,Comercio y reparación de vehículos,24.2,62,Pereira A.M.,2023
7,Construcción,21.3,25,Pereira A.M.,2023
4,"Agricultura, ganadería, caza, silvicultura y pesca",20.4,6,Pereira A.M.,2023
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",18.9,33,Pereira A.M.,2023
0,Industrias manufactureras,14.2,37,Pereira A.M.,2023
10,Información y comunicaciones,6.6,7,Pereira A.M.,2023
5,"Administración pública y defensa, educación y atención de la salud humana",6.2,40,Pereira A.M.,2023
9,Actividades financieras y de seguros,5.0,5,Pereira A.M.,2023
4,Transporte y almacenamiento,49.5,12,Popayán,2023
7,Construcción,37.1,9,Popayán,2023
1,Comercio y reparación de vehículos,33.6,26,Popayán,2023
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.6,13,Popayán,2023
6,Industrias manufactureras,33.1,7,Popayán,2023
0,Alojamiento y servicios de comida,32.7,13,Popayán,2023
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",30.8,11,Popayán,2023
2,"Administración pública y defensa, educación y atención de la salud humana",8.8,29,Popayán,2023
0,Comercio y reparación de vehículos,30.9,7,Quibdó,2023
1,"Administración pública y defensa, educación y atención de la salud humana",4.1,8,Quibdó,2023
2,Transporte y almacenamiento,55.5,7,Riohacha,2023
0,Alojamiento y servicios de comida,43.7,5,Riohacha,2023
1,Comercio y reparación de vehículos,42.3,13,Riohacha,2023
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",37.6,7,Riohacha,2023
3,"Administración pública y defensa, educación y atención de la salud humana",7.3,11,Riohacha,2023
0,Alojamiento y servicios de comida,12.9,5,San Andrés,2023
0,Comercio y reparación de vehículos,31.1,5,San José del Guaviare,2023
8,Transporte y almacenamiento,43.7,25,Santa Marta,2023
6,Construcción,43.0,17,Santa Marta,2023
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",35.6,23,Santa Marta,2023
0,Alojamiento y servicios de comida,32.8,23,Santa Marta,2023
4,Comercio y reparación de vehículos,32.7,46,Santa Marta,2023
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",31.1,18,Santa Marta,2023
3,Industrias manufactureras,30.1,12,Santa Marta,2023
