index,Rama,IVI,Ocupados_miles,n_muestra,poblacion_estimada,Ciudad,Año
7,Transporte y almacenamiento,38.0,1708,28786,1708215.9729935292,Todas (Panorama Nacional),2024
5,"Agricultura, ganadería, caza, silvicultura y pesca",37.1,3283,31833,3283432.30574605,Todas (Panorama Nacional),2024
9,Alojamiento y servicios de comida,31.0,1691,29974,1691338.4268758902,Todas (Panorama Nacional),2024
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.5,1984,33634,1983963.725253371,Todas (Panorama Nacional),2024
2,Comercio y reparación de vehículos,29.5,4056,69068,4055550.896925032,Todas (Panorama Nacional),2024
1,Construcción,28.0,1543,24642,1542704.7657901137,Todas (Panorama Nacional),2024
11,"Suministro de electricidad, gas, agua y gestión de desechos^",23.9,602,8377,602229.3649426172,Todas (Panorama Nacional),2024
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",21.5,1797,27760,1797230.0760838103,Todas (Panorama Nacional),2024
0,Industrias manufactureras,20.5,2467,31778,2467220.035673975,Todas (Panorama Nacional),2024
6,Actividades inmobiliarias,9.5,305,3984,304941.9582534819,Todas (Panorama Nacional),2024
8,"Administración pública y defensa, educación y atención de la salud humana",7.6,2771,53295,2770969.754408348,Todas (Panorama Nacional),2024
10,Información y comunicaciones,7.3,406,4826,405998.9338038532,Todas (Panorama Nacional),2024
12,Actividades financieras y de seguros,6.5,422,5697,421651.23062584264,Todas (Panorama Nacional),2024
0,Comercio y reparación de vehículos,41.6,7,371,6747.72070710925,Arauca,2024
1,"Administración pública y defensa, educación y atención de la salud humana",6.8,5,318,5481.535139608834,Arauca,2024
1,Transporte y almacenamiento,32.0,9,621,8966.40571804575,Armenia,2024
3,Alojamiento y servicios de comida,31.3,12,866,12265.699766441,Armenia,2024
6,Construcción,29.5,10,688,10043.758864595167,Armenia,2024
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",27.9,13,943,12967.2441282645,Armenia,2024
4,Comercio y reparación de vehículos,26.7,31,2166,30665.71102640075,Armenia,2024
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",26.3,13,936,13246.734250056583,Armenia,2024
7,Industrias manufactureras,16.9,13,888,12786.637176125416,Armenia,2024
2,"Administración pública y defensa, educación y atención de la salud humana",6.3,22,1601,22367.572692584417,Armenia,2024
5,Transporte y almacenamiento,41.4,89,1124,88984.84896601584,Barranquilla A.M.,2024
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",35.2,103,1456,103153.75674317667,Barranquilla A.M.,2024
6,Alojamiento y servicios de comida,34.7,75,1036,75001.15988300584,Barranquilla A.M.,2024
9,Construcción,32.6,68,933,68161.08822108417,Barranquilla A.M.,2024
4,Comercio y reparación de vehículos,31.5,202,2662,201542.1645327275,Barranquilla A.M.,2024
11,"Suministro de electricidad, gas, agua y gestión de desechos^",24.3,18,240,17915.755383115,Barranquilla A.M.,2024
3,Industrias manufactureras,19.5,102,1358,102298.56145579583,Barranquilla A.M.,2024
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",19.1,81,1109,80769.023445615,Barranquilla A.M.,2024
8,Actividades financieras y de seguros,12.2,17,230,17423.328569718335,Barranquilla A.M.,2024
10,Actividades inmobiliarias,9.6,14,165,13515.761863944166,Barranquilla A.M.,2024
0,"Administración pública y defensa, educación y atención de la salud humana",8.4,114,1541,113901.127343365,Barranquilla A.M.,2024
1,Información y comunicaciones,4.7,13,193,12933.070173533333,Barranquilla A.M.,2024
4,Transporte y almacenamiento,28.6,341,1113,340930.02241276,Bogotá D.C.,2024
5,Alojamiento y servicios de comida,28.2,252,825,252033.88564095832,Bogotá D.C.,2024
8,Comercio y reparación de vehículos,25.1,743,2461,743355.2750229334,Bogotá D.C.,2024
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",24.5,348,1158,348003.25652351335,Bogotá D.C.,2024
6,"Suministro de electricidad, gas, agua y gestión de desechos^",21.4,69,224,69114.20675260833,Bogotá D.C.,2024
3,Construcción,21.0,219,715,219245.42598176666,Bogotá D.C.,2024
2,Industrias manufactureras,16.6,508,1687,507574.134053975,Bogotá D.C.,2024
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",15.0,562,1846,561943.589666255,Bogotá D.C.,2024
11,"Agricultura, ganadería, caza, silvicultura y pesca",10.0,18,60,18330.11708645,Bogotá D.C.,2024
10,Actividades inmobiliarias,8.5,110,365,110495.86740115,Bogotá D.C.,2024
1,"Administración pública y defensa, educación y atención de la salud humana",7.8,697,2216,697046.6703792133,Bogotá D.C.,2024
12,Información y comunicaciones,6.5,181,560,181299.61860823334,Bogotá D.C.,2024
9,Actividades financieras y de seguros,4.3,169,525,168594.49030843,Bogotá D.C.,2024
0,Transporte y almacenamiento,40.7,54,1091,54130.764772099166,Bucaramanga A.M.,2024
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",29.0,50,1021,49678.60785795583,Bucaramanga A.M.,2024
6,Alojamiento y servicios de comida,26.5,43,922,43037.65328821,Bucaramanga A.M.,2024
3,Comercio y reparación de vehículos,23.4,133,2669,133369.43808125332,Bucaramanga A.M.,2024
5,Industrias manufactureras,22.2,73,1490,73102.75700461166,Bucaramanga A.M.,2024
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",18.9,55,1154,55465.01464576417,Bucaramanga A.M.,2024
7,"Suministro de electricidad, gas, agua y gestión de desechos^",17.5,11,233,11474.0014688625,Bucaramanga A.M.,2024
11,Construcción,17.5,36,598,35840.00772444833,Bucaramanga A.M.,2024
8,"Agricultura, ganadería, caza, silvicultura y pesca",12.5,11,182,10911.042818275833,Bucaramanga A.M.,2024
10,Actividades inmobiliarias,11.9,12,222,11859.5702271475,Bucaramanga A.M.,2024
2,"Administración pública y defensa, educación y atención de la salud humana",6.3,91,1799,91192.71087984416,Bucaramanga A.M.,2024
12,Actividades financieras y de seguros,5.5,11,252,11280.86474721,Bucaramanga A.M.,2024
9,Información y comunicaciones,5.4,11,200,10634.26628342,Bucaramanga A.M.,2024
9,Transporte y almacenamiento,36.4,81,1099,81449.84436900666,Cali A.M.,2024
