MES,PET_M,Ocupados_M,Desocupados_M,PEA_M,Informales_M,TD_%,TGP_%,TO_%,Tasa_Informalidad_%,Año,Ciudad
1,0.064692000000085,0.029038034982869,0.017279347818349996,0.046317382801219,0.017055036100923,37.30639939762579,71.59677054528866,44.886593369861565,58.733437407126985,2023,Arauca
2,0.064762000000265,0.029009080207637,0.013689524493814,0.042698604701450996,0.018933615536818,32.06082397664109,65.93157206583533,44.79336680077561,65.26789336751702,2023,Arauca
3,0.064824000000042,0.029725889377041,0.013306986707494998,0.043032876084536,0.020527151775717,30.922838346556404,66.38417265905856,45.856302259998984,69.05479434223855,2023,Arauca
4,0.064902999999902,0.031218815917629997,0.01082293148317,0.0420417474008,0.019968468123472,25.743296014770433,64.7762775231707,48.10072865303166,63.96292600000674,2023,Arauca
5,0.06497899999993399,0.030191732719006003,0.01577858300963,0.045970315728636,0.020206703869847,34.323416664726416,70.74641919494407,46.46383095928942,66.92793705452577,2023,Arauca
6,0.065062000000064,0.031370592186744,0.011622894768548,0.042993486955291996,0.017852635765534,27.034082582402302,66.08079517268098,48.2164584345903,56.90882613646623,2023,Arauca
7,0.065146000000142,0.035251904525472,0.012621975284851,0.047873879810323,0.024290701440517,26.365056132612285,73.48705954351557,54.11215504466147,68.90606838834834,2023,Arauca
8,0.065235000000002,0.032116721828554,0.013172979648741001,0.045289701477295,0.017840085593898,29.086037706265273,69.42546405655493,49.23234740331572,55.547654237976815,2023,Arauca
9,0.065331999999769,0.032474629619576,0.011563323013761999,0.044037952633338,0.015028648879401,26.257630798685742,67.40640518198387,49.70708017463237,46.278122508105824,2023,Arauca
10,0.065426999999989,0.032335263337719,0.01083106202417,0.043166325361889,0.017965305506071002,25.091461766473657,65.9763176699165,49.421895146842196,55.55948414100131,2023,Arauca
11,0.065525999999887,0.033403333149294,0.012356055568111,0.045759388717405,0.017802144116865003,27.002230393456415,69.83394182077942,50.97721995750024,53.294514165096906,2023,Arauca
12,0.06512608333334842,0.031635621265146,0.013007152695296,0.044642773960442,0.019430922725056917,29.136076326309045,68.5482247288503,48.575961651522626,61.42102461716028,2023,Arauca
1,0.06521225000001242,0.031860565484950414,0.012706934341342083,0.044567499826292496,0.01966815516463275,28.51166071883991,68.34222071203494,48.8567186148988,61.731971373587704,2024,Arauca
2,0.06530108333332992,0.03198560913092817,0.013000687805998584,0.044986296936926747,0.01964309714737325,28.899217520006726,68.89058288251333,48.9817434844953,61.41229659553225,2024,Arauca
3,0.065392583333339,0.03206925562595008,0.013101204179155416,0.045170459805105506,0.019724469159637003,29.003920340156952,69.07581487467604,49.0411205541107,61.50585280088692,2024,Arauca
4,0.06548608333334709,0.031875660157024914,0.013579491430576166,0.045455151587601085,0.01972094305100292,29.874482773213934,69.41192582280185,48.67547200031287,61.86834391461763,2024,Arauca
5,0.06558125000003008,0.03193069392882358,0.013472930739842834,0.04540362466866641,0.0195451468206315,29.67368979494861,69.232630772737,48.68875468035289,61.21115583707455,2024,Arauca
6,0.06567750000003535,0.03198555964400016,0.013672056721785751,0.04565761636578592,0.01936743961838475,29.944744842245136,69.5178963355203,48.70093965815226,60.550572927110515,2024,Arauca
7,0.06577433333334766,0.03163391942598,0.013895670432494,0.045529589858473996,0.0190175840324525,30.52008699328911,69.22090662284288,48.094625704007804,60.11769764082386,2024,Arauca
8,0.0658711666666875,0.031659745220738,0.01393172988229225,0.04559147510303025,0.019053128558211837,30.557751971851143,69.21309794576153,48.06313114346133,60.18092825880203,2024,Arauca
9,0.06596691666670067,0.031422836688079415,0.014392422787157334,0.04581525947523676,0.019097272047957334,31.414037488833756,69.45187343940809,47.63423588045506,60.77513700474434,2024,Arauca
10,0.06606158333337075,0.03163250462605867,0.014458827308634,0.04609133193469267,0.01960706516255475,31.369948972446437,69.7702501347857,47.883358269555174,61.9839162100448,2024,Arauca
11,0.06615500000004633,0.03201778814404767,0.014485319969172917,0.04650310811322058,0.020175750875817168,31.1491436957411,70.29416992394832,48.398137924609244,63.014193188632184,2024,Arauca
12,0.06624675000004883,0.03202851838285833,0.014395326717812915,0.04642384510067125,0.019835429180719,31.008475680108567,70.07716620156766,48.34730516264529,61.93052374016441,2024,Arauca
1,0.06633641666670108,0.0321758919768415,0.014194519238145168,0.04637041121498667,0.01998100935793625,30.611156697177567,69.90189332651012,48.5041152260382,62.099317626742156,2025,Arauca
2,0.0664242500000265,0.032495611942930665,0.013813188987608332,0.046308800930539,0.02004648995645175,29.828431550899925,69.71670877807506,48.92130802066671,61.68983674367398,2025,Arauca
3,0.06651000000002892,0.032855890225987,0.013519340259656084,0.04637523048564309,0.02019169456332742,29.152071306344062,69.7267034816162,49.399925163092334,61.45532634923714,2025,Arauca
4,0.066593583333368,0.033365609520413335,0.013207282038535833,0.04657289155894917,0.0199725439219495,28.35830371798764,69.9360046835217,50.103340067142554,59.85967050813247,2025,Arauca
5,0.06667516666667783,0.03413987425799033,0.012638936646032502,0.04677881090402284,0.020219455210438834,27.018507742670284,70.15927104896377,51.203282968398454,59.2253359155432,2025,Arauca
6,0.06675524999999809,0.03456031011261258,0.01249461075566475,0.04705492086827734,0.020886408527068582,26.553249957940416,70.48871941649337,51.771673557680586,60.43466756811945,2025,Arauca
7,0.0668337500000125,0.034963349527515834,0.012138344076751252,0.04710169360426709,0.0211206502127485,25.770504514622385,70.47591015655755,52.31391254794067,60.40797148490233,2025,Arauca
8,0.06691141666667884,0.03542942917116042,0.011771570833757085,0.047201000004917504,0.021292422851527836,24.939240339252763,70.5425207779573,52.94975197977521,60.09812562506619,2025,Arauca
9,0.06698875000002,0.03583915999097558,0.011368748846203751,0.04720790883717934,0.021626688994998252,24.082297068939667,70.47139831264988,53.50026682236179,60.34373852636033,2025,Arauca
10,0.06706591666667,0.036225296612991086,0.010835417803297916,0.047060714416289,0.021394636352308833,23.024337683125953,70.1708360301544,54.01446578749904,59.05993422462773,2025,Arauca
11,0.0671425833333515,0.03638989248508025,0.010024781296748915,0.046414673781829174,0.021222911259092,21.598301743690172,69.12851945446933,54.19793323174746,58.32089574816231,2025,Arauca
12,0.067219000000009,0.03709566547393258,0.009574648932087584,0.04667031440602017,0.02154826229954042,20.515501243018228,69.43024205360676,55.18627988206849,58.08835621154324,2025,Arauca
1,0.06729608333333449,0.03737514908676442,0.00924565703268425,0.04662080611944867,0.021770973582385833,19.83161125312946,69.27714632146427,55.5383719757298,58.24986418608171,2026,Arauca
2,0.06737341666667616,0.037545772805083914,0.008927302135220918,0.04647307494030484,0.022120364136379665,19.209622231126588,68.97835561795262,55.72787408250082,58.91572468414991,2026,Arauca
3,0.06745133333332616,0.03767575695080725,0.00845693414646925,0.046132691097276496,0.022353232539490498,18.33175985471291,68.39403880913855,55.85620785970812,59.33054661297669,2026,Arauca
4,0.06752999999999133,0.038057612457052754,0.00781222042117125,0.045869832878224,0.023008143280526916,17.031281631025916,67.92511902595867,56.35660070643809,60.456086956298535,2026,Arauca
2,0.25146599999978003,0.127602833318923,0.011238925041013,0.138841758359936,0.052565387893511006,8.094772908217568,55.21293469497167,50.74357301545124,41.194530345679844,2022,Armenia
3,0.251750999999793,0.126935349620888,0.01700866972543,0.143944019346318,0.060728609890044,11.81616978785932,57.17713905662196,50.42099122585108,47.84215750097932,2022,Armenia
4,0.25206499999979803,0.124208013603678,0.016599804617454,0.140807818221132,0.057256042451542005,11.788979352968026,55.86170956747062,49.276184160346546,46.09689889593932,2022,Armenia
5,0.252374000000123,0.12294453040643298,0.01898400708573,0.14192853749216303,0.054948711656069,13.375750515838474,56.2373847908635,48.715212504605496,44.693905027265735,2022,Armenia
6,0.252692000000188,0.129551908455804,0.020348637605892,0.14990054606169598,0.057078231700928,13.574758825439448,59.32144510375653,51.26870199915613,44.05819441895753,2022,Armenia
7,0.25300199999988704,0.125228623829055,0.021662728427512,0.146891352256567,0.055483899750313995,14.747449795189379,58.05936405903217,49.49708849302018,44.30608438694737,2022,Armenia
8,0.253327000000027,0.126993913449452,0.016059816120206,0.143053729569658,0.052534961155141995,11.226422525660821,56.46998921143137,50.13042962236101,41.36809373628189,2022,Armenia
9,0.253648999999858,0.122577827835615,0.017409979858128997,0.13998780769374403,0.053782592444843,12.436782991999838,55.18957602585557,48.32576822131513,43.8762812121039,2022,Armenia
10,0.253966999999487,0.127218945987677,0.017151974397113003,0.14437092038479,0.049245757258776994,11.880491134501368,56.84633058038312,50.09270731549137,38.70945233546202,2022,Armenia
11,0.254291999999636,0.126377723894627,0.019964934130394997,0.14634265802502203,0.054178844087498,13.642593622278845,57.549060932011834,49.69787641561981,42.870564857357294,2022,Armenia
12,0.254610999999827,0.12475810453533398,0.018039405392378,0.142797509927712,0.055211881317775005,12.632857114602375,56.08457997800921,48.999495126062406,44.25514600707796,2022,Armenia
