Rama,Mediana_COP,Costo_efectivo_COP,Mediana_SMMLV,Costo_SMMLV,Año
"Administración pública y defensa, educación y atención de la salud humana",2500000,3850000,1.76,2.7,2025
Información y comunicaciones,2500000,3850000,1.76,2.7,2025
Actividades financieras y de seguros,2500000,3850000,1.76,2.7,2025
Actividades inmobiliarias,1600000,2464000,1.12,1.73,2025
"Actividades profesionales, científicas, técnicas y de servicios administrativos",1500000,2310000,1.05,1.62,2025
"Suministro de electricidad, gas, agua y gestión de desechos^",1423500,2192190,1.0,1.54,2025
Construcción,1423500,2192190,1.0,1.54,2025
Comercio y reparación de vehículos,1423500,2192190,1.0,1.54,2025
Industrias manufactureras,1423500,2192190,1.0,1.54,2025
Transporte y almacenamiento,1400000,2156000,0.98,1.51,2025
Alojamiento y servicios de comida,1140000,1755600,0.8,1.23,2025
"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1050000,1617000,0.74,1.14,2025
"Agricultura, ganadería, caza, silvicultura y pesca",900000,1386000,0.63,0.97,2025
