Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,Año
Actividades financieras y de seguros,91.6,87.9,87.9,98.9,2025
"Administración pública y defensa, educación y atención de la salud humana",91.1,88.1,85.8,99.3,2025
Información y comunicaciones,90.9,87.6,86.9,98.2,2025
Actividades inmobiliarias,88.6,84.2,82.8,98.8,2025
"Actividades profesionales, científicas, técnicas y de servicios administrativos",70.7,55.1,59.7,97.1,2025
Industrias manufactureras,69.5,53.6,59.0,96.0,2025
"Suministro de electricidad, gas, agua y gestión de desechos^",69.1,53.6,59.1,94.6,2025
Comercio y reparación de vehículos,59.7,36.8,47.6,94.9,2025
Transporte y almacenamiento,58.8,35.0,47.4,94.1,2025
Construcción,58.8,32.7,50.4,93.4,2025
"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.8,24.0,35.9,95.4,2025
Alojamiento y servicios de comida,49.2,20.8,34.9,92.0,2025
"Agricultura, ganadería, caza, silvicultura y pesca",44.5,14.3,23.4,95.7,2025
