Rama,IVI,Ocupados_miles,Año
Transporte y almacenamiento,38.6,1820,2025
"Agricultura, ganadería, caza, silvicultura y pesca",37.0,3386,2025
Alojamiento y servicios de comida,31.7,1834,2025
"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",31.0,1992,2025
Comercio y reparación de vehículos,30.0,4104,2025
Construcción,29.1,1605,2025
"Suministro de electricidad, gas, agua y gestión de desechos^",24.3,617,2025
"Actividades profesionales, científicas, técnicas y de servicios administrativos",22.6,1812,2025
Industrias manufactureras,21.3,2609,2025
Actividades inmobiliarias,10.0,322,2025
Información y comunicaciones,8.1,406,2025
"Administración pública y defensa, educación y atención de la salud humana",7.8,2883,2025
Actividades financieras y de seguros,6.8,436,2025
