AREA,Dominio,Tipo_dominio,Municipios_integrantes,Vigencia
05,Medellín A.M.,Área metropolitana,Medellín; Bello; Envigado; Itagüí; Caldas; Copacabana; Girardota; La Estrella; Sabaneta,GEIH marco 2018
08,Barranquilla A.M.,Área metropolitana,Barranquilla; Malambo; Soledad; Puerto Colombia,GEIH marco 2018
11,Bogotá D.C.,Ciudad,Bogotá D.C.,GEIH marco 2018
13,Cartagena,Ciudad,Cartagena,GEIH marco 2018
15,Tunja,Ciudad,Tunja,GEIH marco 2018
17,Manizales A.M.,Área metropolitana,Manizales; Villamaría,GEIH marco 2018
18,Florencia,Ciudad,Florencia,GEIH marco 2018
19,Popayán,Ciudad,Popayán,GEIH marco 2018
20,Valledupar,Ciudad,Valledupar,GEIH marco 2018
23,Montería,Ciudad,Montería,GEIH marco 2018
27,Quibdó,Ciudad,Quibdó,GEIH marco 2018
41,Neiva,Ciudad,Neiva,GEIH marco 2018
44,Riohacha,Ciudad,Riohacha,GEIH marco 2018
47,Santa Marta,Ciudad,Santa Marta,GEIH marco 2018
50,Villavicencio,Ciudad,Villavicencio,GEIH marco 2018
52,Pasto,Ciudad,Pasto,GEIH marco 2018
54,Cúcuta A.M.,Área metropolitana,Cúcuta; Villa del Rosario; Los Patios; El Zulia,GEIH marco 2018
63,Armenia,Ciudad,Armenia,GEIH marco 2018
66,Pereira A.M.,Área metropolitana,Pereira; Dosquebradas; La Virginia,GEIH marco 2018
68,Bucaramanga A.M.,Área metropolitana,Bucaramanga; Floridablanca; Girón; Piedecuesta,GEIH marco 2018
70,Sincelejo,Ciudad,Sincelejo,GEIH marco 2018
73,Ibagué,Ciudad,Ibagué,GEIH marco 2018
76,Cali A.M.,Área metropolitana,Cali; Yumbo,GEIH marco 2018
81,Arauca,Cabecera capital,Arauca,GEIH marco 2018
85,Yopal,Cabecera capital,Yopal,GEIH marco 2018
86,Mocoa,Cabecera capital,Mocoa,GEIH marco 2018
88,San Andrés,Cabecera capital,San Andrés,GEIH marco 2018
91,Leticia,Cabecera capital,Leticia,GEIH marco 2018
94,Inírida,Cabecera capital,Inírida,GEIH marco 2018
95,San José del Guaviare,Cabecera capital,San José del Guaviare,GEIH marco 2018
97,Mitú,Cabecera capital,Mitú,GEIH marco 2018
99,Puerto Carreño,Cabecera capital,Puerto Carreño,GEIH marco 2018
